epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,54639.3,0.70632,0.37812,0.97462,0.79046,0.82136,0.80213,0.55847,1.06937,0.59495,1.19115,0.002608,0.002608,0.002608
114,55124.7,0.69962,0.37148,0.97546,0.78996,0.81946,0.80208,0.55906,1.06979,0.59633,1.19166,0.002542,0.002542,0.002542
115,55608.4,0.69835,0.37552,0.97904,0.79075,0.81941,0.80257,0.55904,1.07028,0.59789,1.19224,0.002476,0.002476,0.002476
116,56093.8,0.70038,0.37065,0.97551,0.79114,0.81765,0.80237,0.55916,1.07111,0.59953,1.19332,0.00241,0.00241,0.00241
117,56580.2,0.68916,0.36542,0.96974,0.79138,0.81753,0.80224,0.55913,1.07182,0.59994,1.19429,0.002344,0.002344,0.002344
118,57065.9,0.69139,0.36753,0.97117,0.79162,0.81784,0.802,0.55911,1.07258,0.60078,1.19534,0.002278,0.002278,0.002278
119,57551.2,0.68534,0.36343,0.96542,0.79211,0.81858,0.80162,0.55914,1.07342,0.60135,1.19596,0.002212,0.002212,0.002212
120,58037.8,0.68236,0.36157,0.96585,0.78936,0.82002,0.8014,0.55936,1.07384,0.60174,1.19635,0.002146,0.002146,0.002146
121,58523.4,0.68238,0.36361,0.96938,0.78942,0.81944,0.80131,0.55979,1.07431,0.60285,1.1976,0.00208,0.00208,0.00208
122,59008.7,0.67247,0.35505,0.96202,0.78788,0.82026,0.80101,0.5596,1.07512,0.6029,1.19862,0.002014,0.002014,0.002014
123,59490.6,0.67479,0.3542,0.96384,0.78874,0.8195,0.80057,0.55982,1.0755,0.60352,1.19945,0.001948,0.001948,0.001948
124,59974.3,0.66626,0.35373,0.96152,0.78787,0.82116,0.80108,0.56,1.07609,0.60421,1.20059,0.001882,0.001882,0.001882
125,60458.4,0.66709,0.35114,0.96061,0.78622,0.82181,0.80095,0.55999,1.07659,0.60453,1.20154,0.001816,0.001816,0.001816
126,60943,0.66018,0.34874,0.95561,0.78952,0.81952,0.80134,0.55993,1.07741,0.60459,1.20287,0.00175,0.00175,0.00175
127,61426,0.65311,0.34473,0.95433,0.79029,0.81852,0.80137,0.55953,1.078,0.60475,1.20373,0.001684,0.001684,0.001684
128,61911.1,0.65066,0.34224,0.95063,0.79101,0.81734,0.80122,0.55933,1.07873,0.60455,1.2049,0.001618,0.001618,0.001618
129,62394,0.64897,0.34012,0.95265,0.78981,0.81827,0.80023,0.55919,1.07926,0.60486,1.2057,0.001552,0.001552,0.001552
130,62877.9,0.6427,0.33645,0.95021,0.78627,0.82047,0.80036,0.55917,1.07953,0.60554,1.20649,0.001486,0.001486,0.001486
131,63363.2,0.64311,0.33881,0.94934,0.78449,0.8222,0.80035,0.55929,1.08016,0.60539,1.20774,0.00142,0.00142,0.00142
132,63849.3,0.63768,0.33435,0.94411,0.78294,0.82341,0.80013,0.55904,1.08068,0.60522,1.2088,0.001354,0.001354,0.001354
